LotFrontage,LotArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,SalePrice
73,9066,2,1,3,1,230000
73,8990,2,0,2,1,204900
73,8760,1,0,3,1,148000
73,39104,1,0,2,1,241500
73,8899,2,0,3,1,181134
73,9855,1,0,3,1,127500
73,9590,2,0,3,1,187500
73,8925,2,0,3,1,201000
73,8760,2,1,3,1,239799
73,11883,2,0,3,1,203000
73,9300,1,0,3,1,167500
73,8993,2,0,3,1,176485
73,9069,1,0,2,1,147000
73,7100,1,0,2,1,129900
73,8688,2,0,3,1,232000
73,8499,2,1,3,1,156932
73,9735,2,1,3,1,167500
74,8532,1,0,3,1,153000
74,10141,2,1,3,1,185000
74,8536,1,1,2,1,155000
74,9612,2,0,3,1,244600
74,7844,1,1,3,1,149500
74,11988,1,1,3,1,188700
74,9056,2,1,3,1,178000
74,13101,2,0,6,2,142600
74,8740,1,0,2,1,137000
74,10927,2,1,3,1,275000
74,8892,1,0,3,1,116000
74,8834,2,1,4,1,350000
74,10206,1,0,2,1,82000
74,8556,2,0,2,1,194000
74,5868,1,0,2,1,129000
75,10084,2,0,3,1,307000
75,9742,2,0,3,1,230000
75,9375,2,1,3,1,250000
75,9525,2,0,4,1,136900
75,9464,1,0,3,1,136000
75,7388,1,0,3,1,150750
75,10125,2,0,3,1,171500
75,8250,1,0,3,1,145000
75,10650,1,0,3,1,128200
75,9000,2,0,3,1,262500
75,10762,1,1,3,1,120000
75,11310,1,0,2,1,140000
75,13710,1,1,4,1,152000
75,9000,2,1,3,1,270000
75,9000,2,1,3,1,210000
75,8004,2,1,3,1,263435
75,13125,2,0,3,1,208900
75,9803,2,1,3,1,226700
75,7862,2,0,2,1,208300
75,14559,1,0,2,1,164900
75,9375,2,1,4,1,263000
75,13500,3,1,3,1,325000
75,13860,2,1,4,1,345000
75,9937,1,0,3,1,167000
75,11404,2,1,3,1,222500
75,14587,2,0,2,1,264132
75,12508,2,0,4,1,160000
75,9000,1,0,2,1,118000
75,9750,2,0,3,1,135500
75,9750,1,1,4,1,157900
75,7875,1,0,3,1,139950
75,9525,1,1,3,1,144000
75,9317,2,1,3,1,213000
75,45600,3,0,5,1,240000
75,11625,1,1,3,1,131500
75,9000,2,1,4,1,303477
75,9675,2,1,3,1,253000
75,10382,1,0,2,1,140000
75,10125,2,0,4,2,126000
75,11957,2,0,3,1,232000
75,9825,2,0,4,2,100000
75,7950,1,1,3,1,159500
75,13125,1,1,3,1,219500
75,7500,1,1,3,1,133000
75,12000,1,1,3,1,174500
75,11235,1,1,3,1,148000
75,9750,2,0,3,1,213000
75,9473,2,1,3,1,237000
75,7500,1,1,3,1,154000
75,10215,1,0,3,1,111000
75,9986,2,0,2,1,147000
75,9750,2,1,3,1,274300
75,9937,1,1,3,1,147500
76,9591,2,1,4,1,317000
76,9591,2,0,3,1,274900
76,8314,1,0,2,1,124500
76,9291,2,1,3,1,187000
76,9967,2,1,3,1,170000
76,7630,2,0,4,2,140000
76,10142,2,1,4,1,233000
76,9158,2,0,3,1,225000
76,9120,2,1,4,1,185000
76,9880,1,0,3,1,171000
76,9120,1,0,3,1,163000
77,9320,1,1,3,1,128950
77,9206,2,1,3,1,178000
77,9965,2,1,4,1,383970
77,9786,1,1,3,1,159000
77,8593,1,0,3,1,109008
77,10010,1,0,2,1,170000
77,11198,2,1,4,1,325000
77,9965,3,0,4,1,424870
77,8335,1,0,3,1,93000
78,10206,2,0,3,1,245000
78,10264,2,0,3,1,214000
78,10335,2,1,3,1,180000
78,11645,2,0,3,1,260000
78,10335,2,0,3,1,204000
78,12090,2,0,3,1,175500
78,12011,2,1,3,1,280000
78,7800,1,0,2,1,132000
78,7060,2,0,2,2,206300
78,10140,2,0,3,1,213250
78,7800,3,0,3,1,225000
78,12168,2,1,4,1,359100
78,17503,1,0,3,1,97500
78,10140,2,0,3,1,165000
78,10530,1,0,2,1,135000
78,10140,1,1,3,1,181000
78,9360,1,1,3,1,197500
78,11700,1,1,4,1,154000
78,9317,2,0,3,1,176432
78,10140,1,1,3,1,153500
78,10496,2,0,3,1,143000
78,12090,3,1,3,1,178000
78,11344,1,1,3,1,144000
78,10140,2,1,4,1,162900
78,9262,2,0,3,1,287090
79,9416,2,0,3,1,311872
79,10634,1,0,3,1,123000
79,9245,2,1,3,1,213500
79,9480,1,1,3,1,146500
79,10637,2,0,3,1,297000
79,10289,1,1,3,1,156000
79,9490,1,0,3,1,133000
79,10208,2,1,3,1,265000
79,12327,1,1,1,1,316600
79,9236,2,0,3,1,217000
79,12798,2,1,4,1,200000
79,10240,2,0,3,1,207500
79,9492,1,0,3,1,105000
79,8910,1,0,3,1,159500
79,9541,2,0,3,1,233170
79,12420,2,1,3,1,230000
79,11526,2,0,3,1,191000
80,9600,2,0,3,1,181500
80,8892,1,1,3,1,126500
80,13360,1,0,2,1,163500
80,10400,2,0,3,1,174000
80,10197,1,1,3,1,163000
80,8546,2,0,2,1,140000
80,10400,2,0,3,1,241500
80,12435,2,1,3,1,231500
80,9600,2,0,3,1,139000
80,9600,1,0,3,1,167000
80,14000,1,0,3,1,158500
80,10386,2,0,3,1,305900
80,11600,1,1,3,1,145250
80,17120,2,0,4,1,134432
80,9200,2,1,4,1,315000
80,9600,1,1,3,1,175500
80,8480,1,0,2,1,132500
80,9600,1,0,3,1,147000
80,9554,2,1,3,1,215000
80,9600,1,0,3,1,124500
